Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
ELV,Export Loaded on Vessel,40DV,112,2022-01-09,F
ELV,Export Loaded on Vessel,40DV,688,2022-01-09,C
ELV,Export Loaded on Vessel,40DV,128,2022-01-09,G
ELV,Export Loaded on Vessel,40HC,8800,2022-01-09,A
ELV,Export Loaded on Vessel,40HC,10992,2022-01-09,B
ELV,Export Loaded on Vessel,40HC,1632,2022-01-09,E
ELV,Export Loaded on Vessel,40HC,1264,2022-01-09,F
ELV,Export Loaded on Vessel,40HC,7808,2022-01-09,C
ELV,Export Loaded on Vessel,40HC,2096,2022-01-09,G
ELV,Export Loaded on Vessel,40HR,2064,2022-01-09,A
ELV,Export Loaded on Vessel,40HR,1536,2022-01-09,B
ELV,Export Loaded on Vessel,40HR,192,2022-01-09,E
ELV,Export Loaded on Vessel,40HR,48,2022-01-09,F
ELV,Export Loaded on Vessel,40HR,1888,2022-01-09,C
ELV,Export Loaded on Vessel,40HR,448,2022-01-09,G
IDV,Import Discharged from Vessel,20DV,12032,2022-01-09,A
IDV,Import Discharged from Vessel,20DV,18000,2022-01-09,B
IDV,Import Discharged from Vessel,20DV,672,2022-01-09,E
IDV,Import Discharged from Vessel,20DV,656,2022-01-09,D
IDV,Import Discharged from Vessel,20DV,400,2022-01-09,F
IDV,Import Discharged from Vessel,20DV,864,2022-01-09,C
IDV,Import Discharged from Vessel,20DV,2064,2022-01-09,G
IDV,Import Discharged from Vessel,20RE,240,2022-01-09,B
IDV,Import Discharged from Vessel,40DV,672,2022-01-09,A
IDV,Import Discharged from Vessel,40DV,2128,2022-01-09,B
IDV,Import Discharged from Vessel,40DV,32,2022-01-09,E
IDV,Import Discharged from Vessel,40DV,48,2022-01-09,F
IDV,Import Discharged from Vessel,40DV,48,2022-01-09,C
IDV,Import Discharged from Vessel,40DV,64,2022-01-09,G
IDV,Import Discharged from Vessel,40HC,14032,2022-01-09,A
IDV,Import Discharged from Vessel,40HC,30016,2022-01-09,B
IDV,Import Discharged from Vessel,40HC,1296,2022-01-09,E
IDV,Import Discharged from Vessel,40HC,816,2022-01-09,F
IDV,Import Discharged from Vessel,40HC,704,2022-01-09,C
IDV,Import Discharged from Vessel,40HC,1616,2022-01-09,G
IDV,Import Discharged from Vessel,40HR,192,2022-01-09,A
IDV,Import Discharged from Vessel,40HR,2480,2022-01-09,B
IDV,Import Discharged from Vessel,40HR,32,2022-01-09,E
IDV,Import Discharged from Vessel,40HR,80,2022-01-09,F
IDV,Import Discharged from Vessel,40HR,1792,2022-01-09,C
IDV,Import Discharged from Vessel,40HR,48,2022-01-09,G
ELV,Export Loaded on Vessel,20DV,13776,2022-01-10,A
ELV,Export Loaded on Vessel,20DV,16096,2022-01-10,B
ELV,Export Loaded on Vessel,20DV,576,2022-01-10,E
ELV,Export Loaded on Vessel,20DV,1104,2022-01-10,F
ELV,Export Loaded on Vessel,20DV,1952,2022-01-10,C
